(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3):(6.695, 0.072, 4.566408, 4.006464, 4.942, 4.336)
(3, 3, 3, 3, 1, 1, 2, 2, 3, 3, 2, 3):(2.108, 0.304, 7.22638, 1.186464, 9.94, 1.632)
(3, 3, 3, 3, 1, 1, 1, 2, 3, 3, 2, 2):(3.231, 3.204, 3.897166, 0.426512, 8.918, 0.976)
(3, 3, 3, 3, 1, 1, 2, 2, 3, 3, 3, 3):(4.851, 8.768, 6.505593, 1.554576, 9.307, 2.224)
(3, 3, 3, 3, 1, 1, 1, 1, 3, 3, 2, 2):(1.64, 8.188, 0.152208, 0.021696, 9.513, 1.356)
(2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 3):(2.418, 0.406, 1.990628, 1.332364, 4.651, 3.113)
(3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3):(2.022, 9.409, 2.182817, 0.971432, 3.757, 1.672)
(3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3):(5.943, 2.671, 0.371735, 0.335855, 5.719, 5.167)
(3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3):(5.343, 1.013, 2.5365, 0.998224, 7.125, 2.804)
(1, 2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 2):(1.581, 9.521, 0.748224, 0.703944, 3.464, 3.259)
(1, 2, 2, 3, 1, 1, 1, 1, 3, 3, 2, 2):(0.16, 3.921, 3.494976, 1.746152, 5.232, 2.614)
(3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3):(6.05, 1.829, 4.686864, 2.769732, 7.696, 4.548)
(3, 3, 3, 3, 1, 2, 2, 3, 3, 3, 2, 3):(6.793, 8.863, 1.41173, 0.497226, 8.935, 3.147)
(1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2):(3.562, 0.615, 0.35946, 0.233784, 9.985, 6.494)
(1, 1, 1, 2, 1, 2, 1, 3, 2, 2, 2, 2):(4.875, 1.111, 0.9229, 0.6548, 9.229, 6.548)
(2, 2, 3, 3, 1, 1, 2, 2, 3, 3, 3, 3):(0.6, 6.76, 6.539323, 3.540347, 6.559, 3.551)
(1, 1, 1, 1, 1, 2, 1, 3, 2, 2, 2, 2):(3.616, 0.147, 0.535602, 0.440848, 9.078, 7.472)
(2, 3, 3, 3, 1, 1, 1, 1, 3, 3, 2, 2):(2.885, 9.339, 2.33972, 0.92336, 8.068, 3.184)
(3, 3, 3, 3, 1, 3, 2, 3, 3, 3, 3, 3):(5.951, 0.914, 7.096815, 0.956448, 9.735, 1.312)
(2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3):(4.564, 9.13, 6.671603, 5.203511, 7.471, 5.827)
(2, 2, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3):(1.768, 0.519, 4.998855, 4.441665, 6.621, 5.883)
(3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 2, 2):(5.78, 7.688, 0.216717, 0.036105, 7.473, 1.245)
(1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2):(1.76, 3.395, 1.608525, 0.9567, 7.149, 4.252)
(1, 2, 1, 3, 2, 3, 3, 3, 2, 2, 2, 3):(2.85, 3.762, 0.897138, 0.779135, 4.554, 3.955)
(3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3):(6.725, 0.205, 0.9912, 0.976416, 5.9, 5.812)
(2, 3, 3, 3, 1, 1, 2, 2, 3, 3, 2, 3):(2.797, 7.551, 5.356026, 1.820169, 8.766, 2.979)
(2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3):(5.145, 1.422, 5.760646, 4.855018, 6.221, 5.243)
(3, 3, 3, 3, 1, 3, 2, 3, 3, 3, 2, 3):(4.271, 0.224, 4.515164, 0.810592, 6.506, 1.168)
(2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3):(1.07, 6.805, 0.178504, 0.115858, 1.684, 1.093)
(1, 3, 2, 3, 1, 1, 1, 1, 2, 3, 2, 2):(2.409, 5.38, 1.046312, 0.382416, 8.438, 3.084)
(3, 3, 3, 3, 1, 2, 2, 3, 3, 3, 3, 3):(5.972, 4.802, 8.53083, 0.50787, 8.617, 0.513)
(2, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3):(4.583, 4.304, 4.010501, 2.867252, 6.809, 4.868)
(2, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3):(6.197, 8.813, 5.36766, 5.16079, 7.836, 7.534)
(1, 3, 2, 3, 1, 1, 1, 1, 3, 3, 2, 2):(0.192, 9.615, 1.50453, 0.135568, 6.57, 0.592)
(2, 3, 3, 3, 1, 2, 2, 3, 3, 3, 3, 3):(0.037, 5.12, 1.269754, 0.245474, 1.438, 0.278)
(3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3):(8.182, 2.211, 0.75249, 0.549423, 9.29, 6.783)
(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3):(9.761, 0.12, 7.534838, 1.287952, 9.454, 1.616)
(1, 2, 1, 3, 1, 1, 1, 1, 2, 2, 2, 2):(3.44, 1.362, 0.239568, 0.106824, 9.982, 4.451)
(2, 3, 3, 3, 1, 1, 1, 2, 3, 3, 2, 2):(1.219, 8.398, 6.757585, 1.522407, 9.095, 2.049)
